COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS,den_uts,sigla
Coazzolo,"005041","292","5","0",Asti,AT
Cocconato,"005042","1454","5","0",Asti,AT
Corsione,"005044","203","5","0",Asti,AT
Cortandone,"005045","308","5","0",Asti,AT
Cortanze,"005046","274","5","0",Asti,AT
Cortazzone,"005047","593","5","0",Asti,AT
Cortiglione,"005048","536","5","0",Asti,AT
Cossombrato,"005049","521","5","0",Asti,AT
Cunico,"005051","452","5","0",Asti,AT
Dusino San Michele,"005052","1072","5","0",Asti,AT
Ferrere,"005053","1533","5","0",Asti,AT
Fontanile,"005054","551","5","0",Asti,AT
Frinco,"005055","731","5","0",Asti,AT
Grana,"005056","587","5","0",Asti,AT
Grazzano Badoglio,"005057","608","5","0",Asti,AT
Incisa Scapaccino,"005058","2138","5","0",Asti,AT
Isola d'Asti,"005059","2023","5","0",Asti,AT
Loazzolo,"005060","321","5","0",Asti,AT
Maranzana,"005061","244","5","0",Asti,AT
Maretto,"005062","383","5","0",Asti,AT
Moasca,"005063","502","5","0",Asti,AT
Mombaldone,"005064","202","5","0",Asti,AT
Mombaruzzo,"005065","1028","5","0",Asti,AT
Mombercelli,"005066","2126","5","0",Asti,AT
Monale,"005067","1001","5","0",Asti,AT
Monastero Bormida,"005068","912","5","0",Asti,AT
San Damiano Macra,"004207","407","4","0",Cuneo,CN
Sanfrè,"004208","3014","4","0",Cuneo,CN
Sanfront,"004209","2340","4","0",Cuneo,CN
San Michele Mondovì,"004210","1887","4","0",Cuneo,CN
Sant'Albano Stura,"004211","2359","4","0",Cuneo,CN
Santa Vittoria d'Alba,"004212","2861","4","0",Cuneo,CN
Santo Stefano Belbo,"004213","3959","4","0",Cuneo,CN
Santo Stefano Roero,"004214","1374","4","0",Cuneo,CN
Scagnello,"004216","182","4","0",Cuneo,CN
Scarnafigi,"004217","2133","4","0",Cuneo,CN
Serralunga d'Alba,"004218","561","4","0",Cuneo,CN
Serravalle Langhe,"004219","300","4","0",Cuneo,CN
Sinio,"004220","493","4","0",Cuneo,CN
Somano,"004221","323","4","0",Cuneo,CN
Sommariva Perno,"004223","2723","4","0",Cuneo,CN
Stroppo,"004224","101","4","0",Cuneo,CN
Tarantasca,"004225","2153","4","0",Cuneo,CN
Torre Bormida,"004226","165","4","0",Cuneo,CN
Torre Mondovì,"004227","490","4","0",Cuneo,CN
Torre San Giorgio,"004228","731","4","0",Cuneo,CN
